ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,latitude,longitude
CN-0080,medium_airport,Suixi Air Base,,AS,CN,CN-44,Zhanjiang (Suixi),,,,21.3958,110.199997
CN-0081,medium_airport,Jinggangshan Airport,281.0,AS,CN,CN-36,Ji'an,ZSJA,JGS,,26.856899,114.737
CN-0082,medium_airport,Baise Youjiang Airport,490.0,AS,CN,CN-45,Baise (Tianyang),ZGBS,AEB,,23.7206,106.959999
CN-0083,medium_airport,Guodu Air Base,,AS,CN,CN-37,"Xintai, Tai'an",,,,36.000428,117.625833
CN-0085,medium_airport,Xiaogan Air Base,,AS,CN,CN-42,Xiaogan (Xiaonan),,,,30.95359,113.911774
CN-0089,medium_airport,Lianyungang Huaguoshan International Airport,,AS,CN,CN-32,Lianyungang,ZSLG,LYG,,34.41406,119.17899
CN-0090,medium_airport,Cangxian Air Base,,AS,CN,CN-13,Cangzhou,,,,38.403025,116.930924
CN-0091,medium_airport,Dongying Shengli Airport,15.0,AS,CN,CN-37,Dongying,ZSDY,DOY,,37.5085983276,118.788002014
CN-0092,medium_airport,Jiaozhou Jiaocheng Air Base,62.0,AS,CN,CN-37,"Jiaozhou, Qingdao",,,,36.331163,120.025538
CN-0094,medium_airport,Jiugucheng Air Base,75.0,AS,CN,CN-13,Hengshui,,,,37.491153,116.116726
CN-0095,medium_airport,Kaifeng Air Base,,AS,CN,CN-41,Kaifeng,,,,34.75389862060547,114.33899688720703
CN-0096,medium_airport,Laiyang Air Base,,AS,CN,CN-37,Yantai,,,,36.9636,120.591003
CN-0097,medium_airport,Luyang Air Base,469.0,AS,CN,CN-41,Xuchang (Pingdingshan),,,,33.685434,112.89053
CN-0104,medium_airport,Xingcheng Air Base,30.0,AS,CN,CN-21,"Xingcheng, Huludao",ZYXC,XEN,,40.580328,120.700374
CN-0106,medium_airport,Xuzhou Daguozhang Air Base,,AS,CN,CN-32,Xuzhou,,,,34.229285,117.245665
CN-0111,medium_airport,Zhucheng Air Base,,AS,CN,CN-37,Weifang,,,,36.027468,119.43778
CN-0113,medium_airport,Altay Xuedu Airport,2460.0,AS,CN,CN-65,Altay,ZWAT,AAT,,47.749886,88.085808
CN-0114,medium_airport,Baoji Air Base,,AS,CN,CN-61,Baoji (Fengxiang),,,,34.53125,107.470679
CN-0117,medium_airport,Gonghe Air Base,,AS,CN,CN-63,Hainan (Gonghe),,,,36.3367,100.480003
CN-0121,medium_airport,Huangdicun Naval Air Base,97.0,AS,CN,CN-21,Huludao,,,,40.49979,120.659295
CN-0123,medium_airport,Lanzhou Air Base,,AS,CN,CN-62,Lanzhou (Yuzhong),,,,35.917801,104.218002
CN-0125,medium_airport,Lintao Air Base,,AS,CN,CN-62,Dingxi (Lintao),,,,35.3083,103.835999
CN-0127,medium_airport,Qingshui Air Base,,AS,CN,CN-62,Jiuquan (Suzhou),,,,39.554699,98.884201
CN-0130,medium_airport,Tianshui Maijishan Airport,3590.0,AS,CN,CN-62,Tianshui (Maiji),ZLTS,THQ,,34.559399,105.860001
CN-0132,medium_airport,Ürümqi South Air Base,,AS,CN,CN-65,Ürümqi,,,,43.466593,87.531177
CN-0133,medium_airport,Uxxaktal Air Base,,AS,CN,CN-65,"Hoxud, Bayingolin",,,,42.1814,87.188103
CN-0134,medium_airport,Wugong Air Base,,AS,CN,CN-61,Xianyang (Wugong),,,,34.275907,108.2658
CN-0135,medium_airport,Ürümqi Changji Air Base,2425.0,AS,CN,CN-65,Ashilixiang,,,,43.951175,87.079232
CN-0136,medium_airport,Wuwei Air Base,,AS,CN,CN-62,Wuwei,,,,37.9883,102.567001
CN-0137,medium_airport,Xi'an Air Base,1337.0,AS,CN,CN-61,Xi'an (Huyi),,,,34.153059,108.599739
CN-0138,medium_airport,Xincheng Air Base,,AS,CN,CN-36,Ganzhou,,,,25.5483,114.619003
CN-0139,medium_airport,Yaerbashi Test Range,,AS,CN,CN-65,"Yizhou, Hami",,,,43.077202,92.808098
CN-0140,medium_airport,Yanliang Air Base,,AS,CN,CN-61,Xi'an (Yanliang),,,,34.642248,109.241867
CN-0146,medium_airport,Daishan Air Base,7.0,AS,CN,CN-33,Zhoushan,,,,30.287581,122.144401
CN-0147,medium_airport,Feidong Air Base,,AS,CN,CN-34,Hefei,,,,31.909401,117.658997
CN-0149,medium_airport,Fuzhou Air Base,,AS,CN,CN-35,Fuzhou,,,,26.0044,119.311996
CN-0152,medium_airport,Huian Air Base,,AS,CN,CN-35,,,,,25.026100158691406,118.80699920654297
CN-0153,medium_airport,Hangzhou Jianqiao Airport,,AS,CN,CN-33,Hangzhou,,,,30.3353,120.240997
CN-0154,medium_airport,Jiaxing Airport / Jiaxing Air Base,17.0,AS,CN,CN-33,"Xiuzhou, Hangzhou",,,,30.705535,120.679779
CN-0158,medium_airport,Longtian Air Base,13.0,AS,CN,CN-35,Fuzhou (Fuqing),,,,25.5728,119.459999
CN-0163,medium_airport,Nanchang Xiangtang Air Base,75.0,AS,CN,CN-36,Nanchang,,,,28.421205,115.923375
CN-0165,medium_airport,Ningbo Zhuangqiao Air Base,,AS,CN,CN-33,Ningbo,,,,29.9228,121.573997
CN-0169,medium_airport,Shanghai Dachang Air Base,,AS,CN,CN-31,Shanghai (Baoshan),,,,31.324438,121.409508
CN-0178,medium_airport,Wuhan Hannan Municipal Airport,85.0,AS,CN,CN-42,Wuhan (Hannan),,WHN,,30.25521,114.062805
CN-0182,medium_airport,Zhangshu Air Base,116.0,AS,CN,CN-36,Yichun,,,,28.023283,115.549649
CN-0185,medium_airport,Changchun Air Base,,AS,CN,CN-22,Changchun,,,,43.9053,125.197998
CN-0188,medium_airport,Beijing Nanjiao Airport,,AS,CN,CN-11,Beijing,ZBNY,NAY,,39.48595,116.37236
CN-0189,medium_airport,Dandong Langtou Airport,30.0,AS,CN,CN-21,"Zhenxing, Dandong",ZYDD,DDG,,40.0247,124.286003
CN-0190,medium_airport,Dingxin-Shuangchengzi Air Base,,AS,CN,CN-62,Jiuquan (Jinta),,,,40.401402,99.789398
CN-0191,medium_airport,Fuxin Air Base,,AS,CN,CN-21,"Xihe, Fuxin",,,,42.078899,121.662003
CN-0192,medium_airport,Gongzhuling Air Base,,AS,CN,CN-22,Siping,,,,43.526293,124.78466
CN-0197,medium_airport,Kaiyuan Air Base,,AS,CN,CN-21,"Qinghe, Tieling",,,,42.525799,123.982002
CN-0198,medium_airport,Lalin Air Base,,AS,CN,CN-23,Harbin,,,,45.259457,126.893536
CN-0201,medium_airport,Pingquan Air Base,,AS,CN,CN-13,Chengde,,,,40.900409,118.677878
CN-0204,medium_airport,Shenyang Beiling Air Base,,AS,CN,CN-21,"Huanggu, Shenyang",,,,41.8708,123.439003
CN-0206,medium_airport,Shenyang Yuhong Quansheng Airport,,AS,CN,CN-21,"Yuhong, Shenyang",,,,41.822498,123.299004
CN-0208,medium_airport,Siping Air Base,,AS,CN,CN-22,Siping,,,,43.156898,124.292
CN-0209,medium_airport,Suizhong Air Base,43.0,AS,CN,CN-21,Huludao,,,,40.298992,120.36152
CN-0210,medium_airport,Tuchengzi Air Base,,AS,CN,CN-21,"Lüshunkou, Dalian",,,,38.912201,121.238998
CN-0236,medium_airport,Xigaze Dingri Airport,14108.0,AS,CN,CN-54,Xigazê (Dingri),,DDR,,28.604567,86.798
CN-0237,medium_airport,Tashikuergan Hongqilafu Airport,10499.0,AS,CN,CN-65,Tashikuergan,ZWTK,HQL,,37.661333,75.288877
CN-0316,medium_airport,Chenghu General Airport,33.0,AS,CN,CN-32,Suzhou,,,,31.215334,120.789328
CN-0317,medium_airport,Liyang Tianmuhu General Airport,54.0,AS,CN,CN-32,Changzhou,,,,31.53904,119.502554
CN-0321,medium_airport,Anji Tianzihu General Airport,137.0,AS,CN,CN-33,Anji,ZSTZ,,,30.797725,119.590287
CN-0331,medium_airport,Jiuzhou Airport,,AS,CN,CN-52,Jiuzhou,,,,26.998259,107.759571
CN-0344,medium_airport,Paozhuwan Air Base,,AS,CN,CN-42,Wuhan (Xinzhou),,,,30.673944,114.63089
CN-0345,medium_airport,Shanpo Air Base,,AS,CN,CN-42,Wuhan,,,,30.087612,114.31366
CN-0353,medium_airport,Zhanjiang Wuchuan Airport,,AS,CN,CN-44,Zhanjiang,ZGZJ,ZHA,,21.481667,110.590278
CN-0396,medium_airport,Shaodong Airport,,AS,CN,CN-43,Shaoyang (Shaodong),,,,27.2235,111.6741
CN-0401,medium_airport,Ningxiang,,AS,CN,CN-U-A,,,,,27.987589,112.604971
CN-JNZ,medium_airport,Sanshilipu Air Base,,AS,CN,CN-21,"Jinzhou, Dalian",,,,39.289671,121.762195
CN-NTG,medium_airport,Nantong Xingdong International Airport,16.0,AS,CN,CN-32,Nantong,ZSNT,NTG,,32.070801,120.975998
CNC3,medium_airport,Brampton-Caledon Airport,935.0,,CA,CA-ON,,CNC3,,CNC3,43.7603,-79.875
CY-0002,medium_airport,Lefkoniko Airport / Geçitkale Air Base,146.0,AS,CY,CY-03,Lefkoniko (Geçitkale),LCGK,GEC,,35.23591,33.720088
CYAC,medium_airport,Cat Lake Airport,1344.0,,CA,CA-ON,Cat Lake,CYAC,YAC,,51.72719955444336,-91.82440185546875
CYAG,medium_airport,Fort Frances Municipal Airport,1125.0,,CA,CA-ON,Fort Frances,CYAG,YAG,,48.655749,-93.44349
CYAH,medium_airport,La Grande-4 Airport,1005.0,,CA,CA-QC,La Grande-4,CYAH,YAH,,53.754699707,-73.6753005981
CYAL,medium_airport,Alert Bay Airport,240.0,,CA,CA-BC,Alert Bay,CYAL,YAL,,50.582199,-126.916
CYAM,medium_airport,Sault Ste Marie Airport,630.0,,CA,CA-ON,Sault Ste Marie,CYAM,YAM,,46.485001,-84.509399
CYAQ,medium_airport,Kasabonika Airport,672.0,,CA,CA-ON,Kasabonika,CYAQ,XKS,,53.52470016479492,-88.6427993774414
CYAS,medium_airport,Kangirsuk Airport,403.0,,CA,CA-QC,Kangirsuk,CYAS,YKG,,60.027198791503906,-69.99919891357422
CYAT,medium_airport,Attawapiskat Airport,31.0,,CA,CA-ON,Attawapiskat,CYAT,YAT,,52.9275016784668,-82.43190002441406
CYAV,medium_airport,Winnipeg / St. Andrews Airport,760.0,,CA,CA-MB,Saint Andrews,CYAV,,,50.0564,-97.032501
